language,category,question,answer
en,Crop Selection,What is the best crop for red soil in Karnataka?,"Groundnut, millets, and pulses grow well in red soil."
en,Crop Selection,Can I grow wheat in high rainfall areas?,Wheat prefers moderate rainfall. High rainfall may affect yield.
en,Crop Selection,Which crops grow well in acidic soil?,"Rice, sweet potatoes, and oats tolerate acidic soils."
en,Fertilizer Usage,When should I apply urea fertilizer to rice?,Apply urea at the tillering and panicle initiation stages.
en,Fertilizer Usage,What is the ideal NPK ratio for tomato?,5:10:10 or 10:10:10 is commonly used for tomatoes.
en,Fertilizer Usage,How to choose fertilizer based on soil test?,"Use soil report to match crop needs with N, P, K deficiencies."
en,Plant Disease Management,My tomato plant has black spots. What should I do?,It may be early blight. Use fungicide and remove affected leaves.
en,Plant Disease Management,How to prevent fungal infections in rice?,Avoid overwatering and use recommended fungicides.
en,Plant Disease Management,Is leaf curling in chili plants a disease?,"Yes, it can be due to viral infection. Use neem oil or insecticide."
en,Weather & Irrigation,When is the best time to sow maize in Odisha?,"Early June to mid-July, before monsoon rains, is ideal."
en,Weather & Irrigation,Should I irrigate wheat during winter?,"Yes, especially at crown root initiation and grain filling stages."
en,Weather & Irrigation,How much rainfall does cotton need?,Cotton needs about 600–1000 mm of rainfall.
en,Marketplace & Trading,How do I list my produce on AgroLink?,"Log in, go to “Marketplace”, and click “Add Listing” to upload crop."
en,Marketplace & Trading,What details are needed to sell a crop?,"Crop name, quantity, price, contact info, and a photo."
en,Marketplace & Trading,Can I edit or delete my listing?,"Yes, visit “My Listings” to edit or remove a post."
en,Platform Help,How do I change the language on the platform?,"Go to settings > Language, and select your preferred language."
en,Platform Help,What does the chatbot help with?,"It can answer crop, fertilizer, weather, and usage questions."
en,Platform Help,How can I contact the admin for support?,Use the “Contact Us” section in the dashboard.
en,General,What is the best time to plant rice?,"The best time to plant rice depends on your region, but generally it is during the monsoon season between June and July."
en,General,How often should I water tomato plants?,"Tomato plants should be watered every 2-3 days, keeping the soil moist but not waterlogged."
en,General,What fertilizer is good for wheat crops?,"A balanced fertilizer with nitrogen, phosphorus, and potassium (NPK 10-26-26) is recommended for wheat crops."
en,General,How can I control pests on my cotton farm?,"Use integrated pest management including neem-based pesticides, pheromone traps, and crop rotation."
en,General,Which crop is best for sandy soil?,"Crops like groundnut, millets, and watermelon grow well in sandy soils."